node_id	symbol	node_type	n_pairs	n_diseases	diseases	pair_indices
reactome:R-HSA-1296127	Activation of voltage gated Potassium channels	reaction	4	3	Glioma|LungAdeno|RA	1,2,3,4
reactome:R-HSA-2213244	Loading of antigenic peptides	reaction	3	3	Glioma|LungAdeno|RA	1,3,4
reactome:R-HSA-2213246	Disassociation of CLIP from MHC II	reaction	3	3	Glioma|LungAdeno|RA	1,3,4
reactome:R-HSA-379048	Liganded Gq/11-activating GPCRs act as GEFs for Gq/11	reaction	3	3	Glioma|LungAdeno|RA	1,3,7
reactome:R-HSA-443986	Receptor ACKR2 binds most inflammatory CC chemokines	reaction	3	3	Glioma|LungAdeno|RA	1,4,9
reactome:R-HSA-5696358	TREM,CD300 binds lipids	reaction	3	3	Glioma|LungAdeno|RA	1,3,4
reactome:R-HSA-6798747	Exocytosis of tertiary granule membrane proteins	reaction	3	3	Glioma|LungAdeno|RA	1,3,4
reactome:R-HSA-6799350	Exocytosis of specific granule membrane proteins	reaction	3	3	Glioma|LungAdeno|RA	1,3,4
reactome:R-HSA-749448	Liganded Gq-activating GPCRs bind inactive heterotrimeric Gq	reaction	3	3	Glioma|LungAdeno|RA	1,3,7
reactome:R-HSA-749452	The Ligand:GPCR:Gq complex dissociates	reaction	3	3	Glioma|LungAdeno|RA	1,3,7
reactome:R-HSA-8940388	GPLD1 hydrolyses GPI-anchors from proteins	reaction	3	3	Glioma|LungAdeno|RA	1,6,7
reactome:R-HSA-1015702	Expression of IFN-induced genes	reaction	2	3	Glioma|LungAdeno|RA	1,4
reactome:R-HSA-217258	FMO2:FAD:Mg2+ S-oxidises MTZ	reaction	2	3	Breast|LungAdeno|RA	7,10
reactome:R-HSA-2855020	RYR tetramers transport Ca2+ from sarcoplasmic reticulum lumen to cytosol	reaction	2	3	Glioma|LungAdeno|RA	1,7
reactome:R-HSA-374723	Nociceptin receptor binds to nociceptin	reaction	2	3	Glioma|LungAdeno|RA	1,9
reactome:R-HSA-5173005	B3GALTL transfers glucose to O-fucosyl-proteins	reaction	2	3	Breast|LungAdeno|RA	7,10
reactome:R-HSA-5173192	POFUT2 transfers fucose to TSR domain-containing proteins	reaction	2	3	Breast|LungAdeno|RA	7,10
reactome:R-HSA-5362522	ALDHs oxidise atRAL to atRA	reaction	2	3	Breast|Glioma|LungAdeno	1,10
reactome:R-HSA-5389849	28S subunit:MTIF3 binds MTIF2:GTP, mRNA, and formylMet-tRNA	reaction	2	3	Breast|Glioma|LungAdeno	6,10
reactome:R-HSA-5419271	55S ribosome:MTRF1L hydrolyzes peptidyl-tRNA bond and GTP is hydrolyzed	reaction	2	3	Breast|LungAdeno|RA	7,10
reactome:R-HSA-5423637	AKR dimers reduce AFBDHO to AFBDOH	reaction	2	3	Breast|LungAdeno|RA	7,10
reactome:R-HSA-5690043	Cytosolic ACOTs hydrolyse MCFA-CoA, LCFA-CoA	reaction	2	3	Breast|Glioma|LungAdeno	6,10
reactome:R-HSA-6784160	IL10 negatively regulates extracellular inflammatory mediators	reaction	2	3	Glioma|LungAdeno|RA	1,4
reactome:R-HSA-9937374	MTRFR:MTRES1:39S ribosomal subunit:mRNA:peptidyl-tRNA:MALSU1:MIEF1:NDUFAB1 dissociates	reaction	2	3	Breast|Glioma|LungAdeno	6,10
reactome:R-HSA-9937403	MTRFR:MTRES1 binds 39S ribosomal subunit:mRNA:peptidyl-tRNA:tRNA:MALSU1:MIEF1:NDUFAB1	reaction	2	3	Breast|Glioma|LungAdeno	6,10
reactome:R-HSA-1031716	Expression of IFNG-stimulated genes	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-199043	LILRs interact with MHC Class I	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-199050	ICAM1-5 bind Integrin alphaLbeta2 (LFA-1)	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-2870221	E-selectin binds E-selectin ligand	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-374248	Receptor CXCR3 binds ligands CXCL9 to 11	reaction	2	2	LungAdeno|RA	4,9
reactome:R-HSA-417843	P2Y13 binds ADP	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-425678	SLC24A1-4 exchange extracellular 4Na+ for cytosolic Ca2+, K+	reaction	2	2	Glioma|LungAdeno	3,6
reactome:R-HSA-428287	IGF2BP3 binds specific RNAs	reaction	2	2	Glioma|LungAdeno	3,6
reactome:R-HSA-444523	CXCR5 binds CXCL13	reaction	2	2	LungAdeno|RA	4,9
reactome:R-HSA-5685607	Sialic acid binds SIGLEC	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-6798743	Exocytosis of secretory granule membrane proteins	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-6798749	Exocytosis of specific granule lumen proteins	reaction	2	2	Glioma|LungAdeno	1,3
reactome:R-HSA-6800426	Exocytosis of ficolin-rich granule membrane proteins	reaction	2	2	Glioma|LungAdeno	1,3
symbol:IFI27	IFI27	gene	2	2	SLE|Sepsis	5,8
symbol:IFI35	IFI35	gene	2	2	SLE|Sepsis	5,8
symbol:IFIT1	IFIT1	gene	2	2	SLE|Sepsis	5,8
symbol:IFIT2	IFIT2	gene	2	2	SLE|Sepsis	5,8
symbol:IFIT3	IFIT3	gene	2	2	SLE|Sepsis	5,8
symbol:IFIT5	IFIT5	gene	2	2	SLE|Sepsis	5,8
symbol:IFITM3	IFITM3	gene	2	2	SLE|Sepsis	5,8
symbol:RSAD2	RSAD2	gene	2	2	SLE|Sepsis	5,8
symbol:XAF1	XAF1	gene	2	2	SLE|Sepsis	5,8
reactome:R-HSA-375776	SLC7A1 (CAT-1)-mediated uptake of cationic amino acids	reaction	2	1	Glioma	1,6
reactome:R-HSA-429571	Co-transport (influx) of myo-inositol/D-chiro-inositol and two Na+ ions by SGLT6	reaction	2	1	Glioma	1,6
reactome:R-HSA-5333615	80S:Met-tRNAi:mRNA:SECISBP2:Sec-tRNA(Sec):EEFSEC:GTP is hydrolysed to 80S:Met-tRNAi:mRNA:SECISBP2:Sec and EEFSEC:GDP by EEFSEC	reaction	2	1	Glioma	1,6
reactome:R-HSA-8856398	NPTN binds GABA A receptors	reaction	2	1	Glioma	1,2
reactome:R-HSA-9013143	RAC1 GEFs activate RAC1	reaction	2	1	Glioma	1,6
reactome:R-HSA-9014610	Translation of ROBO3.2 mRNA initiates NMD	reaction	2	1	Glioma	1,6
reactome:R-HSA-9014652	Translation of ROBO3.2 mRNA is negatively regulated by NMD	reaction	2	1	Glioma	1,6
reactome:R-HSA-927832	UPF1 binds an mRNP with a termination codon preceding an Exon Junction Complex	reaction	2	1	Glioma	1,6
reactome:R-HSA-927836	SMG6 hydrolyzes mRNA with premature termination codon	reaction	2	1	Glioma	1,6
reactome:R-HSA-927889	SMG1 phosphorylates UPF1 (enhanced by Exon Junction Complex)	reaction	2	1	Glioma	1,6
